"Name of City","Name of Paper","TPA Member","County Seat","Address","Address2","PO Address","PO Address2","Website","Main Phone","Main Fax","Email","circulation","County","Pub Day","founded","Page Size","Column Width","Congressional District","Representative District","State Senator District","publisher","editor","Ad Director","fips","pov_perc_all","pov_perc_under_18","Alcohol_Abuse","Autism_Spectrum_Disorders","Depression","Drug_Abuse_Substance_Abuse","Schizophrenia_Other_Psychotic_Disorders","total_pop","total_jail_pop","total_jail_pretrial","unemployment","X2020.Total.Population","X2020.LCDC.Total","Ratio.of.LCDCs.to.100.000.Population","X2020.LCSW.Total","Ratio.of.LCSWs.to.100.000.Population","X2020.LPC.Total","Ratio.of.LPCs.to.100.000.Population","X2020.LBSW.Total","Ratio.of.LBSWs.to.100.000.Population","X2020.LMSW.Total","Ratio.of.LMSWs.to.100.000.Population","X2020.Primary.Care.Physician.Total","Ratio.of.Primary.Care.Physicians.to.100.000.Population","MSA_type","Central_Outlying","CBSA.Code","CBSA.Title","CBSA.level","RUCC_2013","State","NCHS_2013","UIC_2013","opioid_per_100","alc_est_per_capita","vet_percent_2020","percent_uninsured","Temp_MH_Services_NewApp_2020","Ext_MH_Services_NewApp_2020","Modification_NewApp_2020","Auth_Meds_NewApp_2020","Temp_MH_Services_Hearing_2020","Ext_MH_Services_Hearing_2020","Modification_Hearing_2020","Auth_Meds_Hearing_2020","Temp_MH_Services_NewApp_2020_per100k","Ext_MH_Services_NewApp_2020_per100k","Modification_NewApp_2020_per100k","Auth_Meds_NewApp_2020_per100k","Temp_MH_Services_Hearing_2020_per100k","Ext_MH_Services_Hearing_2020_per100k","Modification_Hearing_2020_per100k","Auth_Meds_Hearing_2020_per100k","X2020.Psychiatrist.Total","Ratio.of.Psychiatrists.to.100.000.Population","Total.Traffic.Fatalities","Total.Traffic.Fatalities.BAC.gt.08","Percent.Traffic.Fatalities.BAC.gt.08","Traffic_Fatalities_per_100k","I_35","percent_comp","County Code","Name.y","UNC2020_Count_Papers","desert","ACS5Y2020_Hispanic_Percent","ACS5Y2020_Poverty_Percent","ACS5Y2020_GINI_Index","ACS5Y2020_Highschool_Percent","ACS5Y2020_GED_Percent","ACS5Y2020_Bachelors_Percent","ACS5Y2020_Masters_Percent","ACS5Y2020_Professional_Percent","ACS5Y2020_Doctorate_Percent","ACS5Y2020_SNAP_Percent","ACS5Y2020_Unemployment_Percent","ACS5Y2020_Median Household Income","Zero_Papers","One_Or_Fewer_Papers"
"Canton","Canton Herald","*","*","103 E. Tyler","Canton, TX 75103","P.O. Box 577","Canton  TX  75103-0577","www.thecantonherald.com","903-567-4000","903-567-6076","business@vanzandtnews.com",1414,"Van Zandt","Thursday",1882,"6 col. x 21”","1 5/8","5","2","2","Tiffany Hardy, Business Manager","Britne Hammons","Karla Dunson",48467,12.9,17.7,1.4054,NA,20.6508,3.2287,2.2917,56019,158,152,3.1,55469,18,32.5,5,9,22,39.7,9,16.2,8,14.4,11,19.8,NA,NA,NA,NA,NA,6,"TX",6,4,18.2,NA,6.40567004249173,22.6406246423721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,18,41.4646018496818,"Non I-35 Corridor",0.866666666666667,"467","Van Zandt",4,FALSE,0.113006968018581,0.127158698418469,0.4716,0.268695920889988,0.0613154099711578,0.117480428512567,0.0346363823650597,0.00388854552946024,0.00175113308611454,0.117156240850981,0.040103657759463,57203,FALSE,FALSE
"Wills Point","Van Zandt News","*",NA,"103 E. Tyler St.","Canton, Texas 75103","PO Box 577","Canton  TX  75103-0577","www.vanzandtnews.com","903-567-4000","903-567-6076","business@vanzandtnews.com",1894,"Van Zandt","Sunday",1982,"6 col. x 21”","1.833","5","2","2","Tiffany Hardy, Business Manager","Britne Hammons","Karla Dunson",48467,12.9,17.7,1.4054,NA,20.6508,3.2287,2.2917,56019,158,152,3.1,55469,18,32.5,5,9,22,39.7,9,16.2,8,14.4,11,19.8,NA,NA,NA,NA,NA,6,"TX",6,4,18.2,NA,6.40567004249173,22.6406246423721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,18,41.4646018496818,"Non I-35 Corridor",0.866666666666667,"467","Van Zandt",4,FALSE,0.113006968018581,0.127158698418469,0.4716,0.268695920889988,0.0613154099711578,0.117480428512567,0.0346363823650597,0.00388854552946024,0.00175113308611454,0.117156240850981,0.040103657759463,57203,FALSE,FALSE
"Canyon","The Canyon News","*","*","1500 5th Ave.","Canyon, TX 79015","PO Box 779","Canyon, TX 79015-0779","www.canyonnews.com","806-655-7121","806-655-0823","news@canyonnews.com",724,"Randall","Sunday / Thursday",1896,"6 col. x 21”","1.5625","13","86","31","Robert C. Granfeldt, GM","Tim Ritter","Courtney Offield",48381,9.6,11.6,1.4556,0.1348,17.6629,2.0284,1.9004,136271,364,179,2.5,138104,21,15.2,21,15.2,137,99.2,51,36.9,78,56.5,44,31.9,"Metropolitan Statistical Area","Central",11100,"Amarillo, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,26.8,7.10464430598282,6.27695324433582,10.1919688284397,277,0,0,41,318,0,0,19,200.573480855008,0,0,29.6877715344957,230.261252389504,0,0,13.7577477842785,0,0,25,4,16,18.1022997161559,"Non I-35 Corridor",0.983333333333333,"381","Randall",1,TRUE,0.223785890224624,0.100122467072887,0.4403,0.189032466303828,0.053379634267143,0.210468908255145,0.0696851313900297,0.0147139025231783,0.0144579117833651,0.0635031541962788,0.0359978100191623,68186,FALSE,TRUE
"Carrizo Springs","Carrizo Springs Javelin","*","*","604 N. 1st","Carrizo Springs, TX 78834","PO Box 1046","Carrizo Springs, TX 78834","www.carrizospringsjavelin.com","830-876-2318","830-876-2620","csjavelin@yahoo.com",1438,"Dimmit","Wednesday",1884,"6 col. x 21”","1.833","23","80","21","Howard & Claudia McDaniel","Claudia McDaniel","Claudia McDaniel",48127,25.5,34.4,2.1739,NA,16.7297,1.7013,2.4575,10308,66,64,3.7,11743,0,0,0,0,2,17,1,8.5,0,0,7,59.6,NA,NA,NA,NA,NA,6,"TX",6,6,6,NA,4.93325594892629,26.7224907875061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,NA,1,59.6099804138636,"Non I-35 Corridor",0.85,"127","Dimmit",1,TRUE,0.873534010946052,0.426015617277849,0.4948,0.208978328173375,0.0962848297213622,0.0808049535603715,0.0521671826625387,0.0108359133126935,0.00464396284829721,0.231277533039648,0.0794557823129252,25996,FALSE,TRUE
"Carthage","The Panola Watchman","*","*","109 W. Panola St.","Carthage, TX 75633-2631","109 W. Panola St.","Carthage, TX 75633-2631","www.panolawatchman.com","903-693-7888","903-693-5857","news@panolawatchman.com",1771,"Panola","Sunday / Wednesday",1873,"6  col x 20.5”","1.68","1","11","1","Alexander Gould","Meredith Shamburger","Melissa Douglas",48365,15.3,19.5,1.4339,NA,14.1521,2.8367,1.7768,23148,43,35,4.8,24576,1,4.1,3,12.2,5,20.3,3,12.2,4,16.3,6,24.4,NA,NA,NA,NA,NA,6,"TX",6,6,21.2,NA,6.53150148948468,21.0098430514336,7,0,0,4,0,0,0,0,28.4830729166667,0,0,16.2760416666667,0,0,0,0,0,0,11,2,17,44.7591145833333,"Non I-35 Corridor",0.866666666666667,"365","Panola",1,TRUE,0.0885879409988786,0.141305787312939,0.4629,0.25783285668891,0.053892596123292,0.115602160788052,0.0284080076263108,0.00800762631077216,0.00362249761677788,0.143962133456477,0.028785202119921,51297,FALSE,TRUE
"Cedar Park","Hill Country News Weekender","*",NA,"715 Discovery Blvd., Ste 304","Cedar Park, TX 78613","PO Box 1777","Cedar Park, TX 78613-1777","www.hillcountrynews.com","512-259-4449","512-259-8889","publisher@hillcountrynews.com",1320,"Williamson","Thursday",2000,"6 col. x 21”","1.52","10, 25, 31","19, 20, 136","24","Scott W. Coleman","Scott W. Coleman","Kirsten Foltz",48491,5.6,6.3,2.0875,0.1303,18.9043,2.7049,1.8703,566719,626,466,2.7,589914,107,18.1,237,40.2,504,85.4,56,9.5,211,35.8,509,86.3,"Metropolitan Statistical Area","Central",12420,"Austin-Round Rock-Georgetown, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,29.2,7.06055824385855,5.74893640079013,10.2283902466297,296,0,0,35,58,0,0,28,50.1768054326563,0,0,5.93306820994247,9.83194160504751,0,0,4.74645456795397,55,9.3,59,17,28,10.0014578396173,"I-35 Corridor",0.983333333333333,"491","Williamson",8,FALSE,0.246212991092794,0.060568218400767,0.3948,0.169332918953656,0.0331091117876971,0.276482548645716,0.112380295192845,0.0172090475237303,0.0126420918447973,0.0502676582692318,0.0495918868078842,90834,FALSE,FALSE
"Center","The Light and Champion","*","*","137 San Augustine St.","Center, TX 75935-3951","137 San Augustine St.","Center, TX 75935-1989","www.lightandchampion.com","936-598-3377","936-590-4900","news@lightandchampion.com",1296,"Shelby","Thursday",1877,"6 col. x 21.5""","1.52","1","11","3","Leon Aldridge","Leon Aldridge","Leon Aldridge",48419,18,24.4,1.7165,NA,16.9577,4.4096,2.4859,25418,55,28,3.7,25545,0,0,3,11.7,18,70.5,6,23.5,7,27.4,4,15.7,NA,NA,NA,NA,NA,7,"TX",6,9,18.9,NA,6.04445924569145,26.2936353683472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,10,1,14,39.1466040321002,"Non I-35 Corridor",0.6,"419","Shelby",2,FALSE,0.184261568301469,0.233180091944833,0.4681,0.293506019700839,0.0518059102517329,0.103307795208561,0.032105071141919,0.00413474401070169,0.00060805058980907,0.172464684798651,0.0556309362279511,41170,FALSE,FALSE
"Centerville","Centerville News","*","*","PO Box 97","Centerville, TX 75833","PO Box 97","Centerville, TX 75833",NA,"936-349-2052",NA,"centervillenewspaper@gmail.com",1350,"Leon","Wednesday",1980,"6 col. x 21”","1.5625","6","13","5","Hank Hargrave","Hank Hargrave","Hank Hargrave",48289,13.8,17.9,1.5291,NA,16.1774,2.8135,1.6514,17270,30,19,5.1,17707,2,11.3,0,0,2,11.3,3,16.9,1,5.6,4,22.6,NA,NA,NA,NA,NA,8,"TX",6,7,7.8,NA,9.09727081875437,18.638750910759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,15,62.1223245044333,"Non I-35 Corridor",0.866666666666667,"289","Leon",5,FALSE,0.147186147186147,0.177309900817818,0.4938,0.334678395609717,0.0556855782422726,0.112662416269873,0.0334113469453636,0.00347026067306916,0.00040351868291501,0.0861488957144947,0.0585915492957746,43392,FALSE,FALSE
"Clarendon","Clarendon Enterprise","*","*","105 S. Kearney","Clarendon, TX 79226","PO Box 1110","Clarendon, TX 79226-1110","www.clarendonlive.com","806-874-2259","806-874-2423","news@clarendononline.com",793,"Donley","Thursday",1878,"6 col. x 21”","1.833","13","88","28","Roger A. Estlack","Roger A. Estlack","Tara Allred",48129,16.3,24.8,2.8939,0,17.0418,2.2508,5.1447,3319,12,9,2.8,3410,0,0,0,0,0,0,2,58.7,0,0,1,29.3,NA,NA,NA,NA,NA,8,"TX",6,7,0.4,NA,6.9060773480663,23.2821360230446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,10,175.953079178886,"Non I-35 Corridor",0.883333333333333,"129","Donley",1,TRUE,0.112752487187217,0.124543341082697,0.4196,0.246600181323663,0.0480507706255666,0.128286491387126,0.0462375339981868,0.00498640072529465,0.0013599274705349,0.0342261904761905,0.0161707632600259,51875,FALSE,TRUE
"Clarksville","Clarksville Times","*","*","116 W Main St","Clarksville, TX 75426","PO Box 1018","Clarksville, TX 75426-1018","www.theclarksvilletimes.blogspot.com","903-427-0002","903-427-0003","theclarksvilletimes@gmail.com",1447,"Red River","Thursday",1873,"6 col. x 21”","1.833","1, 4","1","1","Patricia Antonelli",NA,"Patricia Antonelli",48387,15.7,25.6,1.5564,NA,18.249,6.537,2.8016,12175,31,26,4.5,12610,0,0,2,15.9,5,39.7,6,47.6,2,15.9,2,15.9,NA,NA,NA,NA,NA,6,"TX",6,6,82.2,NA,6.54181410201087,20.7215860486031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,11,63.441712926249,"Non I-35 Corridor",0.866666666666667,"387","Red River",2,FALSE,0.0737102765167148,0.202399932869011,0.4637,0.332590777456004,0.0622633103141011,0.113945199376253,0.0355312987302294,0.00345288482958343,0.00378703497438182,0.135912891308575,0.0514463211026985,37135,FALSE,FALSE
"Claude","The Claude News","*","*","119 N. Trice","Claude, TX 79019","PO Box 778","Claude, TX 79019-0778","www.theclaudenews.com","806-231-1577","No Fax","jenna.bichsel@theclaudenews.com",461,"Armstrong","Friday",1890,"6 col. x 11.5”","1.6","13","86","31","Jenna Bichsel","Jenna Bichsel","Jenna Bichsel",48011,9.3,12.4,NA,0,16.2651,NA,4.2169,1892,3,2,2.4,1948,0,0,0,0,1,51.3,1,51.3,0,0,0,0,"Metropolitan Statistical Area","Outlying",11100,"Amarillo, TX","Metropolitan Statistical Area-Outlying",2,"TX",3,2,20.3,NA,7.03463203463203,23.2821360230446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,33,154.004106776181,"Non I-35 Corridor",0.933333333333333,"011","Armstrong",1,TRUE,0.0846153846153846,0.0726884019241048,0.358,0.217488789237668,0.0201793721973094,0.17339312406577,0.0732436472346786,0.00896860986547085,0.00149476831091181,0.025,0.00542888165038002,69386,FALSE,TRUE
"Cleburne","Cleburne Times-Review","*","*","108 S. Anglin","Cleburne, TX 76031-5690","108 South Anglin St.","Cleburne, TX 76031-5690","www.cleburnetimesreview.com","817-645-2441","817-645-4020","editor@cleburnetimesreview.com",1509,"Johnson","Tuesday / Thursday / Saturday",1904,"6 col. x 21”","1.562","14","58","10","Lisa Chappell","Monica Faram","Renae Alexander",48251,9.5,11.7,1.5045,0.2075,22.5673,4.2911,3.1127,171361,805,623,3.2,171701,27,15.7,30,17.5,108,62.9,22,12.8,49,28.5,64,37.3,"Metropolitan Statistical Area","Central",19100,"Dallas-Fort Worth-Arlington, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,37.3,2.2231238224391,5.38829636463677,21.1943313479424,166,2,0,4,169,0,0,0,96.6796931875761,1.16481558057321,0,2.32963116114641,98.4269165584359,0,0,0,3,1.7,57,15,26,33.1972440463364,"Non I-35 Corridor",0.983333333333333,"251","Johnson",2,FALSE,0.219772524349465,0.103432282003711,0.4028,0.293204559452294,0.0649284573019968,0.134685935142952,0.0477278610384626,0.00695343253206702,0.0058376699306442,0.0897717521880899,0.0350762842796447,65311,FALSE,FALSE
"Clute","The Facts","*",NA,"720 S. Main","Clute, TX 77531-5411","PO Box 549","Clute, TX 77531-0549","www.thefacts.com","979-237-0100","979-265-2213","news@thefacts.com",8764,"Brazoria","Daily (ex Sun Mon)",1913,"6 col. x 21”","1.6042","14","25, 29","17","Yvonne Mintz","Yvonne Mintz","Cindy Cornette",48039,8.3,10,1.6638,0.2216,16.4082,2.8522,2.6145,370200,894,521,4.8,375869,66,17.6,65,17.3,210,55.9,31,8.2,86,22.9,217,57.7,"Metropolitan Statistical Area","Central",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Central",1,"TX",2,1,27.9,5.37589609468028,5.26703419876301,18.9304128289223,7,1,0,0,4,1,0,0,1.86235097866544,0.266050139809348,0,0,1.06420055923739,0.266050139809348,0,0,16,4.3,68,18,27,18.0914095070357,"Non I-35 Corridor",0.983333333333333,"039","Brazoria",6,FALSE,0.309985817606816,0.0792397792291004,0.4185,0.192505489305712,0.0577611934103427,0.199258684309925,0.0769872531887782,0.018632509141925,0.015988510852015,0.0784158989885976,0.0475682285587238,83325,FALSE,FALSE
"Clyde","Clyde Journal","*",NA,"312 N. 1st","Clyde, TX 79510","PO Box 979","Clyde, TX 79510","theclydejournal.com","325-893-4244","325-893-2780","clydejournal@earthlink.net",970,"Callahan","Wednesday",1972,"6 col. x 21”","1.75","25","71","10","Danny Tabor","Danny Tabor","Melinda Kevil",48059,12.2,19,1.8114,0,17.9749,2.7868,2.601,13994,6,5,3.3,13456,3,22.3,2,14.9,4,29.7,3,22.3,2,14.9,2,14.9,"Metropolitan Statistical Area","Outlying",10180,"Abilene, TX","Metropolitan Statistical Area-Outlying",3,"TX",4,2,6.7,NA,8.78319229646922,27.9468238353729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.4,9,1,12,66.884661117717,"Non I-35 Corridor",0.966666666666667,"059","Callahan",3,FALSE,0.0982162045991833,0.0926568372361954,0.4175,0.27205292702486,0.0760825982357658,0.169306335204491,0.0423015236567763,0.0066158781074579,0.006214915797915,0.0878629932985853,0.0422670509125841,51955,FALSE,FALSE
"Coleman","Coleman Chronicle & Democrat-Voice","*","*","116 Concho","Coleman, TX 76834","PO Box 840","Coleman, TX 76834-0840",NA,"325-625-4128",NA,"colemannews@yahoo.com",1016,"Coleman","Thursday",1881,"6 col. x 21”","1.73","11","72","28","Scott Wood","Deborah Wood","Lindsay Schaechtel",48083,16,28.1,0.9709,NA,16.4509,1.5102,1.9417,8397,7,2,4.1,8478,2,23.6,0,0,1,11.8,2,23.6,0,0,4,47.2,NA,NA,NA,NA,NA,6,"TX",6,6,14.3,NA,9.03175429463821,27.9468238353729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,28,70.7714083510262,"Non I-35 Corridor",0.866666666666667,"083","Coleman",1,TRUE,0.177031759449342,0.147066014669927,0.479,0.302024560238965,0.059077331563226,0.117324925323598,0.0356787255227348,0.00995685363425158,0.00564221705940923,0.0942153493699885,0.0579017264276228,46948,FALSE,TRUE
"Colorado City","Colorado City Record","*","*","257 E 2nd St","Colorado City, TX 79512","257 E 2nd St","Colorado City, TX 79512",NA,"325-728-3413","325-728-3414","coloradorecord@att.net",2231,"Mitchell","Thursday",1905,"6 col. x 21”","1.833","19","83","31","Sheila Plagens",NA,"Earl Plagens",48335,18.7,21.9,1.8692,NA,16.3032,2.3884,2.9076,8145,16,36,4.9,9865,1,10.1,0,0,1,10.1,1,10.1,0,0,4,40.5,NA,NA,NA,NA,NA,7,"TX",6,9,52.7,NA,4.84983314794216,27.9468238353729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,16,50.6842372022301,"Non I-35 Corridor",0.866666666666667,"335","Mitchell",1,TRUE,0.403221899224806,0.117217280813215,0.491,0.328743545611015,0.122585580416906,0.0919869956014534,0.024861350162555,0.00191241155096577,0.00267737617135207,0.0992145514675486,0.032151143520053,44939,FALSE,TRUE
"Columbus","Colorado County Citizen","*","*","2024 Hwy 71 S","Columbus, TX 78934-2345","PO Box 548","Columbus, TX 78934-0548","www.coloradocountycitizen.com","979-732-2304","979-732-8804","publisher@coloradocountycitizen.com",2383,"Colorado","Wednesday",1857,"6 col. x 21”","1.52","2","85","17","Karen Lopez","Karen Lopez","Missy Theriot",48089,12.7,18.4,1.248,NA,14.6906,1.118,2.8861,21217,46,53,3.4,21273,6,28.2,1,4.7,4,18.8,2,9.4,1,4.7,20,94,NA,NA,NA,NA,NA,6,"TX",6,4,22,14.5935691005497,6.32387994357153,19.623938202858,0,1,0,0,0,0,0,0,0,4.70079443425939,0,0,0,0,0,0,0,0,10,1,13,47.0079443425939,"Non I-35 Corridor",0.883333333333333,"089","Colorado",4,FALSE,0.302242824366718,0.100891915220102,0.4653,0.341627858483353,0.0392715646069368,0.141030096615,0.0289149927017446,0.0147355251268506,0.00604712587752832,0.0775329212577264,0.0388277613203555,52663,FALSE,FALSE
"Columbus","The Banner Press Newspaper","*","*","1217 Bowie","Columbus, TX 78934-2300","PO Box 490","Columbus, TX 78934-0490","www.bannerpresspaper.com","979-732-6243","979-732-6245","banneroffice@sbcglobal.net",1545,"Colorado","Thursday",1985,"6 col. x 21”","1.833","2","85","17","Ramona Ferguson","Ramona Ferguson","Ramona Ferguson",48089,12.7,18.4,1.248,NA,14.6906,1.118,2.8861,21217,46,53,3.4,21273,6,28.2,1,4.7,4,18.8,2,9.4,1,4.7,20,94,NA,NA,NA,NA,NA,6,"TX",6,4,22,14.5935691005497,6.32387994357153,19.623938202858,0,1,0,0,0,0,0,0,0,4.70079443425939,0,0,0,0,0,0,0,0,10,1,13,47.0079443425939,"Non I-35 Corridor",0.883333333333333,"089","Colorado",4,FALSE,0.302242824366718,0.100891915220102,0.4653,0.341627858483353,0.0392715646069368,0.141030096615,0.0289149927017446,0.0147355251268506,0.00604712587752832,0.0775329212577264,0.0388277613203555,52663,FALSE,FALSE
"Comanche","The Comanche Chief","*","*","203 W. Grand Ave","Comanche, TX 76442-2316","PO Box 927","Comanche, TX 76442-0927","www.thecomanchechief.com","325-356-2636","325-356-5380","editor@thecomanchechief.com",2620,"Comanche","Thursday",1873,"6 col. x 21”","1.667","25","68","22","Bradley Wilkerson","Bradley Wilkerson","Bradley Wilkerson",48093,15.9,24,1.2505,NA,17.7413,1.3286,2.0711,13534,42,29,3,13075,4,30.6,1,7.6,5,38.2,9,68.8,1,7.6,12,91.8,NA,NA,NA,NA,NA,7,"TX",6,9,52.1,NA,6.56907459173165,27.9468238353729,13,0,0,0,0,0,0,0,99.4263862332696,0,0,0,0,0,0,0,0,0,12,3,26,91.7782026768642,"Non I-35 Corridor",0.866666666666667,"093","Comanche",2,FALSE,0.283003603736118,0.145696860176192,0.4284,0.261254764602864,0.06582878335222,0.143504687339034,0.0468733903368703,0.00329659008962604,0.00762336458226022,0.0919497784342688,0.0614410134600158,54889,FALSE,FALSE
"Comfort","The Comfort News","*",NA,"636 Second Street","Comfort, TX 78013","PO Box 218","Comfort, TX 78013-0218","www.thecomfortnews.com","830-995-3634","888-486-1392","dukecomfort@hctc.net",1050,"Kendall","Thursday",1904,"6 col. x 21”","1.8","21","73","25","Deborah and Michael Hawkins","Michael Hawkins","Deborah Hawkins",48259,6.7,8.6,1.6324,NA,15.8857,1.7533,1.9045,45641,55,39,2.7,46278,19,41.1,7,15.1,60,129.7,5,10.8,9,19.4,48,103.7,"Metropolitan Statistical Area","Outlying",41700,"San Antonio-New Braunfels, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,29.5,15.8088484383116,8.3380383477495,21.7678442597389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15.1,14,5,33,30.2519555728424,"I-35 Corridor",0.966666666666667,"259","Kendall",2,FALSE,0.241718142050076,0.0484519814193319,0.4775,0.160869007124061,0.0311276554778256,0.287016237725435,0.129580899813876,0.0204094730761825,0.0156280084718567,0.0386097775373588,0.0433135554541305,98692,FALSE,FALSE
"Conroe","The Courier",NA,"*","100 Ave. A","Conroe, TX 77301","100 Avenue A","Conroe, TX 77301","www.yourconroenews.com","936-521-3451","713-354-3494 (electr","couriernews@hcnonline.com",3350,"Montgomery","Daily",1892,"6 col. x 20.75""","1.638","8","3, 15, 16","4","Katherine English","Alan Fossler","Tom Floyd",48339,8.2,10.9,1.6004,0.1593,17.0111,2.9875,2.1486,590925,939,750,4,613951,84,13.7,93,15.1,429,69.9,34,5.5,110,17.9,581,94.6,"Metropolitan Statistical Area","Outlying",26420,"Houston-The Woodlands-Sugar Land, TX","Metropolitan Statistical Area-Outlying",1,"TX",2,1,37.5,6.12465609250165,5.61630963682401,13.8627961277962,953,0,0,44,838,0,0,40,155.224113976523,0,0,7.16669571350157,136.492977452598,0,0,6.51517792136506,43,7,80,22,28,13.0303558427301,"Non I-35 Corridor",0.983333333333333,"339","Montgomery",2,FALSE,0.245601401587291,0.089128080036163,0.4726,0.186331061908411,0.0470060686398376,0.234222572026263,0.0835654812452103,0.0188557610654295,0.0124660839667778,0.0633193822641564,0.0463709745885022,83274,FALSE,FALSE
"Cooper","Cooper Review","*","*",NA,NA,"PO Box 172","Cooper, TX 75432-0430",NA,"903-395-2175",NA,"cooperreviewnews@gmail.com",806,"Delta","Thursday",1880,"6 col. x 21”","1.5568","4","62","1","Karrie Harmon","Rhandi Allred","Rhandi Allred",48119,14.3,21.5,NA,NA,15.8849,3.9446,3.9446,5349,17,6,3.6,5367,0,0,0,0,3,55.9,0,0,1,18.6,0,0,NA,NA,NA,NA,NA,8,"TX",6,4,4.2,NA,7.83938814531549,20.7215860486031,4,0,0,0,4,0,0,0,74.5295323271846,0,0,0,74.5295323271846,0,0,0,0,0,NA,NA,NA,NA,"Non I-35 Corridor",0.783333333333333,"119","Delta",1,TRUE,0.0828122039037332,0.161840843720038,0.4545,0.266574202496533,0.072122052704577,0.139805825242718,0.0679611650485437,0.00110957004160888,0.0072122052704577,0.0977734753146176,0.0455729166666667,49868,FALSE,TRUE
"Copperas Cove","Copperas Cove Leader-Press","*",NA,"2210 E. Hwy 190, Ste 1","Copperas Cove, TX 76522","PO Box 370","Copperas Cove, TX 76522-0370","www.coveleaderpress.com","254-547-4207","254-542-3299","news@coveleaderpress.com",3280,"Coryell","Tuesday / Friday",1894,"6 col. x 21”","1.5625","25, 31","59","24","David Morris","Lynette Sowell","David Morris",48099,12.7,16.8,2.5535,0.2461,20.12,4.9223,2.6611,74808,77,74,4.1,78317,28,35.8,34,43.4,62,79.2,11,14,31,39.6,21,26.8,"Metropolitan Statistical Area","Central",28660,"Killeen-Temple, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,14.3,3.61041242944652,14.839998555835,12.8642752766609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3,10,4,38,12.7686198398815,"Non I-35 Corridor",0.983333333333333,"099","Coryell",2,FALSE,0.187480152429343,0.114552573078072,0.4069,0.191794850359472,0.0860642033104832,0.112376692860726,0.0493437552248788,0.00374101320849356,0.00376191272362481,0.108941049991041,0.0665561345333965,54712,FALSE,FALSE
"Corpus Christi","Coastal Bend Legal & Business News","*","*","526 Mediterranean Dr","Corpus Christi, TX 78418","PO Box 270607","Corpus Christi, TX 78427-0607","www.cblnews.com","361-937-4907","no fax","cblnews@cblnews.com",90,"Nueces","Daily (Ex Sat Sun)",1981,"3 col. x 11”","2.0","27, 34","32,34","20, 27","Kim Gutierrez","Kim Gutierrez","Sam Gutierrez",48355,17.5,25.9,2.2108,0.2916,19.0051,5.4574,4.1866,362265,1044,500,5,383718,129,33.6,62,16.2,363,94.6,86,22.4,101,26.3,363,94.6,"Metropolitan Statistical Area","Central",18580,"Corpus Christi, TX","Metropolitan Statistical Area-Central",2,"TX",3,2,70,22.0851808436539,7.24818646688072,19.1984876990318,34,0,0,0,0,0,0,1,8.86067372393268,0,0,0,0,0,0,0.260608050703902,23,6,67,23,34,17.4607393971615,"Non I-35 Corridor",0.983333333333333,"355","Nueces",4,FALSE,0.641370588511422,0.161930654036044,0.456,0.239266315243035,0.0532495431352109,0.139460878446533,0.0554695050666622,0.0130370007723442,0.00883764312634791,0.165348477184593,0.0580548685799735,56784,FALSE,FALSE
