Area,Age group,Race,Sex,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Frio,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Black,All,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Black,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Black,Female,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Black,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Black,Male,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Black,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Hispanic,All,Cases,--,--,--,--,--,--,--,--,9,5
Frio,All,Hispanic,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,55.95,30.83
Frio,All,Hispanic,Female,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Hispanic,Male,Cases,--,--,--,--,--,--,--,--,6,--
Frio,All,Hispanic,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,64,-0.01
Frio,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,White,All,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,White,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,White,Female,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,White,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Frio,All,White,Male,Cases,--,--,--,--,--,--,--,--,--,--
Frio,All,White,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,All,All,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,All,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,All,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,All,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,All,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,All,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Black,All,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Black,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Black,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Black,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Black,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Black,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Hispanic,All,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Hispanic,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Hispanic,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Hispanic,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Hispanic,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,White,All,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,White,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,White,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,White,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gaines,All,White,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gaines,All,White,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,All,All,Cases,49,33,39,36,49,55,44,45,35,56
Galveston,All,All,All,Rate,16.75,11.16,12.95,11.74,15.64,17.14,13.38,13.45,10.36,16.37
Galveston,All,All,Female,Cases,20,8,9,11,11,21,10,9,8,13
Galveston,All,All,Female,Rate,13.54,5.35,5.91,7.09,6.93,12.91,6,5.3,4.65,7.46
Galveston,All,All,Male,Cases,29,25,30,25,38,34,34,36,27,43
Galveston,All,All,Male,Rate,20.03,17.1,20.16,16.5,24.57,21.48,20.97,21.84,16.27,25.6
Galveston,All,>1 Race,All,Cases,--,--,--,--,6,--,--,--,--,--
Galveston,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,130.86,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,>1 Race,Male,Cases,--,--,--,--,6,--,--,--,--,--
Galveston,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,260.08,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,Black,All,Cases,20,13,11,11,17,21,11,20,14,15
Galveston,All,Black,All,Rate,50.86,32.98,27.73,27.52,41.97,50.84,26.15,47.1,32.88,34.92
Galveston,All,Black,Female,Cases,11,5,5,--,5,10,--,5,5,5
Galveston,All,Black,Female,Rate,53.01,24.02,23.84,-0.01,23.31,45.68,-0.01,22.22,22.17,22.01
Galveston,All,Black,Male,Cases,9,8,6,7,12,11,8,15,9,10
Galveston,All,Black,Male,Rate,48.45,43,32.09,37.2,62.97,56.67,40.38,75.16,44.95,49.42
Galveston,All,Hispanic,All,Cases,12,9,12,7,11,10,18,9,8,21
Galveston,All,Hispanic,All,Rate,18.23,13.36,17.25,9.79,14.91,13.05,22.54,10.94,9.48,24.18
Galveston,All,Hispanic,Female,Cases,--,--,--,--,--,6,--,--,--,--
Galveston,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,15.78,-0.01,-0.01,-0.01,-0.01
Galveston,All,Hispanic,Male,Cases,8,8,10,--,8,--,14,7,8,18
Galveston,All,Hispanic,Male,Rate,24.07,23.52,28.46,-0.01,21.47,-0.01,34.82,16.87,18.85,41.18
Galveston,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Galveston,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,White,All,Cases,17,10,15,17,15,18,13,15,10,16
Galveston,All,White,All,Rate,9.79,5.73,8.47,9.44,8.18,9.63,6.84,7.8,5.18,8.25
Galveston,All,White,Female,Cases,5,--,--,--,--,--,--,--,--,--
Galveston,All,White,Female,Rate,5.73,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Galveston,All,White,Male,Cases,12,8,13,13,12,16,10,13,8,13
Galveston,All,White,Male,Rate,13.9,9.23,14.79,14.56,13.21,17.29,10.63,13.69,8.42,13.65
Garza,All,All,All,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,All,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,All,Female,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,All,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,All,Male,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,All,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Black,All,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Black,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Black,Female,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Black,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Black,Male,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Black,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Hispanic,All,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Hispanic,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Hispanic,Female,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Hispanic,Male,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Hispanic,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,White,All,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,White,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,White,Female,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,White,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Garza,All,White,Male,Cases,--,--,--,--,--,--,--,--,--,--
Garza,All,White,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,All,All,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,All,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,All,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,All,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,All,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,All,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Black,All,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Black,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Black,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Black,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Black,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Black,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Hispanic,All,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Hispanic,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Hispanic,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Hispanic,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Hispanic,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Hispanic,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Native Hawaiian/Pacific Islander,All,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Native Hawaiian/Pacific Islander,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Native Hawaiian/Pacific Islander,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Native Hawaiian/Pacific Islander,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,Native Hawaiian/Pacific Islander,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,Native Hawaiian/Pacific Islander,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,White,All,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,White,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,White,Female,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,White,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Gillespie,All,White,Male,Cases,--,--,--,--,--,--,--,--,--,--
Gillespie,All,White,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,All,All,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,All,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,All,Female,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,All,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,All,Male,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,All,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,>1 Race,All,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,>1 Race,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,>1 Race,Female,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,>1 Race,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,>1 Race,Male,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,>1 Race,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,American Indian/Alaska Native,All,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,American Indian/Alaska Native,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,American Indian/Alaska Native,Female,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,American Indian/Alaska Native,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,American Indian/Alaska Native,Male,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,American Indian/Alaska Native,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,Asian,All,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,Asian,All,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,Asian,Female,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,Asian,Female,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,Asian,Male,Cases,--,--,--,--,--,--,--,--,--,--
Glasscock,All,Asian,Male,Rate,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
Glasscock,All,Black,All,Cases,--,--,--,--,--,--,--,--,--,--
